uuid|origin|networkuuid|destination|message|sender|messagestatusuuid|datetime
b0592dbb-e9a9-42a2-b9c2-db564d5a5f85|20272|0DE968C9-7309-C481-58F7-AB6CDB1011EF|094def52-bc18-4a9e-9b84-c34cc6476c75|I am glad to answer to the toast|650195B6-9357-C147-C24E-7FBDAEEC74ED|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Wed Aug 31 12:00:16 EAT 2015
c48222f3-a5df-4d18-a6d2-471ac3e43242|tawi|5C1D9939-136A-55DE-FD0E-61D8204E17C9|a118c8ea-f831-4288-986d-35e22c91fc4d|I am glad to answer to the toast|650195B6-9357-C147-C24E-7FBDAEEC74ED|49229BA2-91E5-7E64-F49C-923B7927C40D|Wed May 24 11:39:07 EAT 2015
ea33fe5c-4618-48aa-8daf-61bfc39d442d|impala|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|a2688d72-291b-470c-8926-31a903f5ed0c|I am glad to answer to the toast|650195B6-9357-C147-C24E-7FBDAEEC74ED|49229BA2-91E5-7E64-F49C-923B7927C40D|Thu Sep 04 17:43:58 EAT 2015
fffa38a6-b26d-473a-ac61-88a23109b7d1|20240|0DE968C9-7309-C481-58F7-AB6CDB1011EF|9bef62f6-e682-4efd-98e9-ca41fa4ef993|Endowed with life and emphasis|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|Mon Aug 18 09:07:58 EAT 2014
18318bbf-2faf-4b7f-9357-855ce2a55b71|20272|5C1D9939-136A-55DE-FD0E-61D8204E17C9|a118c8ea-f831-4288-986d-35e22c91fc4d|As innocent as a new laid egg|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Sat Aug 09 15:42:02 EAT 2014
3d196c1d-f7df-48eb-baf0-6bd3f2132252|tawi|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|9bef62f6-e682-4efd-98e9-ca41fa4ef993|The foe of excess and immoderation|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|2F4AF191-8557-86C5-5D72-47DD44D303B1|Wed Aug 13 03:27:48 EAT 2014
a99213a9-9994-4cd5-b40b-ba6d2b246063|impala|0DE968C9-7309-C481-58F7-AB6CDB1011EF|094def52-bc18-4a9e-9b84-c34cc6476c75|Sore beset by the pressure of temptation|650195B6-9357-C147-C24E-7FBDAEEC74ED|49229BA2-91E5-7E64-F49C-923B7927C40D|Sun Aug 24 22:47:24 EAT 2014
31080c3a-4c3c-4102-ad0f-3a9f3105219c|20240|5C1D9939-136A-55DE-FD0E-61D8204E17C9|094def52-bc18-4a9e-9b84-c34cc6476c75|An imperturbable demeanor and steadiness of mind|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|Sun Sep 07 14:24:04 EAT 2014
b79f1f89-ccbb-4947-8b99-ff656f643cbe|20272|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|094def52-bc18-4a9e-9b84-c34cc6476c75|And a pinnace like a flutter'd bird came flying from afar|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Sun Sep 28 22:13:16 EAT 2014
a1daeb06-ccc0-4d47-af11-ec19deb402d9|tawi|0DE968C9-7309-C481-58F7-AB6CDB1011EF|9bef62f6-e682-4efd-98e9-ca41fa4ef993|How does the idea appeal to you?|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|2F4AF191-8557-86C5-5D72-47DD44D303B1|Fri Nov 14 09:28:00 EAT 2014
baf5ffb2-a2e5-4129-b1ef-3cc4c917b912|impala|5C1D9939-136A-55DE-FD0E-61D8204E17C9|9bef62f6-e682-4efd-98e9-ca41fa4ef993|I can explain the apparent contradiction|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|Sun Nov 23 06:16:39 EAT 2014
1f337ff2-fab4-4adf-b3a7-0fe98353cb6d|20240|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|a2688d72-291b-470c-8926-31a903f5ed0c|It is not a practical question|650195B6-9357-C147-C24E-7FBDAEEC74ED|49229BA2-91E5-7E64-F49C-923B7927C40D|Wed Oct 15 15:39:48 EAT 2014
2e5310c1-dea4-48c2-8b1c-375df8c3d4e2|20272|0DE968C9-7309-C481-58F7-AB6CDB1011EF|a2688d72-291b-470c-8926-31a903f5ed0c|Dine with me to-morrow night?--if you are free?|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Tue Nov 18 21:39:28 EAT 2014
47276b75-74fd-4c07-a51f-b0786b978e62|tawi|5C1D9939-136A-55DE-FD0E-61D8204E17C9|a118c8ea-f831-4288-986d-35e22c91fc4d|It is eminently proper|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|49229BA2-91E5-7E64-F49C-923B7927C40D|Sun Nov 02 12:06:35 EAT 2014
371090c9-7953-4085-bced-46ff585aca7f|impala|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|a118c8ea-f831-4288-986d-35e22c91fc4d|He drew near to a desperate resolve|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|49229BA2-91E5-7E64-F49C-923B7927C40D|Tue Sep 09 03:50:36 EAT 2014
6654ea11-f9c2-4a05-9579-04ae341b7e19|20240|0DE968C9-7309-C481-58F7-AB6CDB1011EF|9bef62f6-e682-4efd-98e9-ca41fa4ef993|We often hear persons say|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|Thu Oct 02 15:21:31 EAT 2014
63c9e4c3-a8d7-4ac8-9a74-d19f6d2fe738|20272|5C1D9939-136A-55DE-FD0E-61D8204E17C9|e9570c5d-0cc4-41e5-81df-b0674e9dda1e|The point I wish a little further to speak of|650195B6-9357-C147-C24E-7FBDAEEC74ED|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Sat Oct 11 20:51:37 EAT 2014
dcdacf79-0754-4896-a115-44adb189cac0|tawi|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|a2688d72-291b-470c-8926-31a903f5ed0c|Let us thank you again for opening an account with us|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|2F4AF191-8557-86C5-5D72-47DD44D303B1|Fri Sep 19 11:49:49 EAT 2014
1084e659-f79d-44e4-b15e-9fb0c19cc27f|impala|0DE968C9-7309-C481-58F7-AB6CDB1011EF|094def52-bc18-4a9e-9b84-c34cc6476c75|I was in a somber mood|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|49229BA2-91E5-7E64-F49C-923B7927C40D|Sun Sep 07 09:41:51 EAT 2014
299df8b2-7282-4b10-b20f-5c5f99751d62|20240|5C1D9939-136A-55DE-FD0E-61D8204E17C9|9bef62f6-e682-4efd-98e9-ca41fa4ef993|A reversion to the boldest paganism|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|Wed Oct 08 14:32:38 EAT 2014
7a2e9800-9cf7-4d9e-be55-f0d965dd8530|20272|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|094def52-bc18-4a9e-9b84-c34cc6476c75|This sentence has five words|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Fri Sep 26 17:42:26 EAT 2014
7f673eb4-f254-496c-8a2e-6666bda6a200|tawi|0DE968C9-7309-C481-58F7-AB6CDB1011EF|094def52-bc18-4a9e-9b84-c34cc6476c75|I am familiar with|650195B6-9357-C147-C24E-7FBDAEEC74ED|2F4AF191-8557-86C5-5D72-47DD44D303B1|Mon Aug 11 14:04:11 EAT 2014
3cbe8e0d-0baa-4868-b182-897ff1ba2be4|impala|5C1D9939-136A-55DE-FD0E-61D8204E17C9|9bef62f6-e682-4efd-98e9-ca41fa4ef993|We trust our explanation will meet with your approval|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|49229BA2-91E5-7E64-F49C-923B7927C40D|Thu Dec 11 11:48:15 EAT 2014
b83e1f01-3b5c-4c7b-861f-fa7ede1b368b|20240|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|e9570c5d-0cc4-41e5-81df-b0674e9dda1e|You really insist upon it?|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|49229BA2-91E5-7E64-F49C-923B7927C40D|Sat Oct 11 08:27:03 EAT 2014
fde57cfe-027d-4b10-9662-b02bdbfc4c2d|20272|0DE968C9-7309-C481-58F7-AB6CDB1011EF|a118c8ea-f831-4288-986d-35e22c91fc4d|We assure you of our desire to be of service|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Wed Dec 24 22:17:55 EAT 2014
98afaddc-460a-4963-9c58-ac963b04cfc7|tawi|5C1D9939-136A-55DE-FD0E-61D8204E17C9|a2688d72-291b-470c-8926-31a903f5ed0c|I see little hope of|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|49229BA2-91E5-7E64-F49C-923B7927C40D|Mon Aug 04 16:40:29 EAT 2014
4b634041-1f2d-40e2-9f32-a54fd6e67c51|impala|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|e9570c5d-0cc4-41e5-81df-b0674e9dda1e|It is my present purpose|650195B6-9357-C147-C24E-7FBDAEEC74ED|49229BA2-91E5-7E64-F49C-923B7927C40D|Tue Nov 25 20:18:33 EAT 2014
5b423be0-746b-4ab3-9f1d-1d2b3e5591c9|20240|0DE968C9-7309-C481-58F7-AB6CDB1011EF|9bef62f6-e682-4efd-98e9-ca41fa4ef993|Certainly, one can conceive|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|BBA890E6-FDA9-77B0-03B7-1F6B000C85DD|Sun Nov 23 10:58:28 EAT 2014
d13e9e38-e2a2-4cac-9f99-8f1d23a42cf1|20272|5C1D9939-136A-55DE-FD0E-61D8204E17C9|e9570c5d-0cc4-41e5-81df-b0674e9dda1e|The honeysuckle was taking over the garden|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|04C7CD60-9CC2-1B1A-EB6B-4A3E1FA8AC38|Mon Nov 03 06:27:41 EAT 2014
6e9daedd-d2a2-43e5-a761-8d8491ba007c|tawi|B936DA83-8A45-E9F0-2EAE-D75F5C232E78|a118c8ea-f831-4288-986d-35e22c91fc4d|With music sweet as love|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|2F4AF191-8557-86C5-5D72-47DD44D303B1|Fri Oct 10 07:49:37 EAT 2014
