uuid|name|description|Account uuid|Status uuid|Creation date
094def52-bc18-4a9e-9b84-c34cc6476c75|Parents|Parents of children in the school|650195B6-9357-C147-C24E-7FBDAEEC74ED|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-22
e9570c5d-0cc4-41e5-81df-b0674e9dda1e|Teachers|Teachers to the students|650195B6-9357-C147-C24E-7FBDAEEC74ED|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-02-16
a118c8ea-f831-4288-986d-35e22c91fc4d|Management|The school overseers|650195B6-9357-C147-C24E-7FBDAEEC74ED|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-02-23
a2688d72-291b-470c-8926-31a903f5ed0c|Staff|Workers in various capacities in the institution|650195B6-9357-C147-C24E-7FBDAEEC74ED|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-02-27
9bef62f6-e682-4efd-98e9-ca41fa4ef993|Students|Students enrolled in the school|650195B6-9357-C147-C24E-7FBDAEEC74ED|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-04-26
dd80cff2-7902-42db-a918-da139cc86d0d|Production|to do with|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-03
8669a4db-b899-489d-b469-92a9b87d0ba4|Research and Development|than older protocols in use|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-06
785bd452-b325-4d96-9beb-652d8f92601e|Purchasing|browser, it displays the resources on a user's|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-31
044fbf73-6cb3-467a-ae42-0d10ef7a8336|Marketing|years before that.[1]    For more|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-12
18066164-b147-499c-a0de-e5ff03b51e79|Sales|download times and demands on the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-13
bcc1d152-3764-444d-8b58-1c389a04ae0b|Human Resource Management|6, 1991, he posted a short summary|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-10
c3bb500a-290b-473f-a943-55ced23c9845|Cash Management|if it has|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-08-04
0d559cb5-d8a7-407f-9edb-0c784e3d3f30|Accounting|explains that he|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-09-05
3fbc9ab4-a310-4b6b-9fcf-98d30df2e8ca|Treasury|before applets would appear. Adobe Flash|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-09-24
100214fa-d4f5-4f6e-ae3e-9273ea8962bf|Information Technology|all hyperlinks in real time, and there is|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-01
2a230b36-8df8-439e-a63b-ea06473953cd|Finance|the past followed a convention|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-04
de3186c9-d98d-4b00-9bc6-72e47c8513b3|R&D|the same core ideas|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-09
b67db680-5269-4335-a028-7a8169719257|Services|not have a linear order from|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-15
0324cc2d-4cee-4c04-b46d-f0c9ef53385c|Human Resources|end users without a|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-23
1ef0495d-4c44-4565-8c69-186fad3f672e|Financial|Dark internet where this is discussed in|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-29
2af25564-8486-4677-a574-4658527d514b|Purchasing|each resource (image, stylesheet, JavaScript file etc.,|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-01
3d9fec5b-f176-40dd-8ebf-010d1dd1bc7d|Sales|tackled the project himself. In|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-16
0a5159d4-1e0e-4258-a1e4-0482e06060d0|IT|core ideas (and even some|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-04
60c5c5a4-9d80-4264-8803-b02587a6c3f7|Inventory|servers that can ascertain when physical files have|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-14
060ca61d-c07f-4549-998e-5ab876f066e7|Quality Asurance|"to another is referred to as ""browsing"" or"|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-27
8dd4c02e-ce2e-4609-97e0-ebe5ce8a783d|Insurance|(DHTML), to emphasize a|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-01
